0 ['47', '0', '5', '24', '22']
1195 ['6', '52', '51', '25', '9']
1196 ['6', '52', '51', '25', '9']
1197 ['6', '52', '51', '25', '9']
1208 ['6', '51', '25', '52', '54']
1209 ['6', '51', '25', '52', '54']
1210 ['6', '51', '25', '52', '54']
1211 ['6', '51', '25', '52', '54']
1212 ['6', '51', '25', '52', '54']
1213 ['6', '51', '25', '52', '54']
1214 ['6', '51', '25', '52', '54']
1215 ['6', '51', '25', '52', '54']
1216 ['6', '51', '25', '52', '54']
1217 ['6', '51', '25', '52', '54']
1228 ['51', '25', '52', '6', '52']
1229 ['51', '25', '52', '6', '52']
1230 ['51', '25', '52', '6', '52']
1231 ['51', '25', '52', '6', '52']
1232 ['51', '25', '52', '6', '52']
1233 ['51', '25', '52', '6', '52']
1234 ['51', '25', '52', '6', '52']
1235 ['51', '25', '52', '6', '52']
1236 ['51', '25', '52', '6', '52']
1237 ['51', '25', '52', '6', '52']
1248 ['51', '25', '6', '52', '38']
1249 ['51', '25', '6', '52', '38']
1250 ['51', '25', '6', '52', '38']
1251 ['51', '25', '6', '52', '38']
1252 ['51', '6', '25', '52', '54']
1253 ['51', '6', '25', '52', '54']
1254 ['51', '6', '25', '52', '54']
1255 ['51', '6', '25', '52', '54']
1256 ['51', '6', '25', '52', '54']
1257 ['51', '6', '25', '52', '54']
1258 ['51', '6', '25', '52', '54']
1259 ['51', '6', '25', '52', '54']
1260 ['51', '6', '25', '52', '54']
1261 ['51', '6', '25', '52', '54']
1262 ['51', '6', '25', '52', '54']
1273 ['51', '6', '25', '52', '58']
1274 ['51', '6', '25', '52', '58']
1275 ['51', '6', '25', '52', '58']
1276 ['51', '6', '25', '52', '58']
1277 ['51', '6', '25', '52', '58']
1278 ['51', '6', '25', '52', '58']
1279 ['51', '6', '25', '52', '58']
1280 ['51', '6', '25', '52', '58']
1281 ['6', '25', '52', '51', '1']
1282 ['6', '25', '52', '51', '1']
1283 ['6', '25', '52', '51', '1']
1284 ['6', '25', '52', '51', '1']
1285 ['6', '25', '52', '51', '1']
1286 ['6', '25', '52', '51', '1']
1287 ['6', '25', '52', '51', '1']
1288 ['6', '25', '52', '51', '1']
1289 ['6', '25', '52', '51', '1']
1290 ['6', '25', '52', '51', '1']
1291 ['6', '25', '52', '51', '1']
1302 ['6', '52', '51', '25', '38']
1303 ['6', '52', '51', '25', '38']
1304 ['6', '52', '51', '25', '38']
1305 ['6', '52', '51', '25', '38']
1306 ['6', '52', '51', '25', '38']
1307 ['6', '52', '51', '25', '38']
1308 ['6', '52', '51', '25', '38']
1309 ['6', '52', '51', '25', '38']
1310 ['6', '52', '51', '25', '38']
1311 ['6', '52', '51', '25', '38']
1322 ['51', '6', '52', '25', '2']
1323 ['51', '6', '52', '25', '2']
1324 ['51', '6', '52', '25', '2']
1325 ['51', '6', '52', '25', '2']
1326 ['51', '6', '52', '25', '2']
1327 ['51', '6', '52', '25', '2']
1328 ['51', '6', '52', '25', '2']
1329 ['51', '6', '52', '25', '2']
1330 ['51', '6', '52', '25', '2']
1331 ['51', '6', '52', '25', '2']
1342 ['6', '25', '52', '51', '54']
1343 ['6', '25', '52', '51', '54']
1344 ['6', '25', '52', '51', '54']
1345 ['6', '25', '52', '51', '54']
1346 ['6', '25', '52', '51', '54']
1347 ['6', '25', '52', '51', '54']
1348 ['6', '25', '52', '51', '54']
1349 ['6', '25', '52', '51', '54']
1350 ['6', '25', '52', '51', '54']
