0 ['6', '34', '46', '49', '57', '5', '36', '42']
754 ['6', '25', '5', '52', '51', '1', '59', '54']
755 ['6', '25', '5', '52', '51', '1', '59', '54']
756 ['6', '25', '5', '52', '51', '1', '59', '54']
757 ['6', '25', '5', '52', '51', '1', '59', '54']
758 ['6', '25', '5', '52', '51', '1', '59', '54']
759 ['6', '25', '5', '52', '51', '1', '59', '54']
760 ['6', '25', '5', '52', '51', '1', '59', '54']
761 ['6', '25', '5', '52', '51', '1', '59', '54']
772 ['6', '25', '5', '52', '51', '1', '59', '49']
773 ['6', '25', '5', '52', '51', '1', '59', '49']
774 ['6', '25', '5', '52', '51', '1', '59', '49']
775 ['6', '25', '5', '52', '51', '1', '59', '49']
776 ['6', '25', '5', '52', '51', '1', '59', '49']
777 ['6', '25', '5', '52', '51', '1', '59', '49']
778 ['6', '25', '5', '52', '51', '1', '59', '49']
779 ['6', '25', '5', '52', '51', '1', '59', '49']
780 ['6', '25', '5', '52', '51', '1', '59', '49']
781 ['6', '25', '5', '52', '51', '1', '59', '49']
792 ['6', '25', '52', '51', '1', '59', '5', '60']
793 ['6', '25', '52', '51', '1', '59', '5', '60']
794 ['6', '25', '52', '51', '1', '59', '5', '60']
795 ['6', '25', '52', '51', '1', '59', '5', '60']
796 ['6', '25', '52', '51', '1', '59', '5', '60']
797 ['6', '25', '52', '51', '1', '59', '5', '60']
798 ['6', '25', '52', '51', '1', '59', '5', '60']
799 ['6', '25', '52', '51', '1', '59', '5', '60']
800 ['6', '25', '52', '51', '1', '59', '5', '60']
801 ['6', '25', '52', '51', '1', '59', '5', '60']
812 ['6', '25', '52', '51', '1', '59', '5', '15']
813 ['6', '25', '52', '51', '1', '59', '5', '15']
814 ['25', '52', '51', '1', '59', '5', '6', '54']
815 ['25', '52', '51', '1', '59', '5', '6', '54']
816 ['25', '52', '51', '1', '59', '5', '6', '54']
817 ['25', '52', '51', '1', '59', '5', '6', '54']
818 ['25', '52', '51', '1', '59', '5', '6', '54']
819 ['25', '52', '51', '1', '59', '5', '6', '54']
820 ['25', '52', '51', '1', '59', '5', '6', '54']
821 ['25', '52', '51', '1', '59', '5', '6', '54']
822 ['25', '52', '51', '1', '59', '5', '6', '54']
823 ['25', '52', '51', '1', '59', '5', '6', '54']
824 ['25', '52', '51', '1', '59', '5', '6', '54']
835 ['52', '51', '1', '59', '5', '6', '25', '28']
836 ['52', '51', '1', '59', '5', '6', '25', '28']
837 ['52', '51', '1', '59', '5', '6', '25', '28']
838 ['52', '51', '1', '59', '5', '6', '25', '28']
839 ['52', '51', '1', '59', '5', '6', '25', '28']
840 ['52', '51', '1', '59', '5', '6', '25', '28']
841 ['52', '51', '1', '59', '5', '6', '25', '28']
842 ['52', '51', '1', '59', '5', '6', '25', '28']
843 ['52', '51', '1', '59', '5', '6', '25', '28']
844 ['52', '51', '1', '59', '5', '6', '25', '28']
855 ['52', '51', '1', '59', '5', '6', '25', '50']
856 ['52', '51', '1', '59', '5', '6', '25', '50']
857 ['52', '51', '1', '59', '5', '6', '25', '50']
858 ['52', '51', '1', '59', '5', '6', '25', '50']
859 ['52', '51', '1', '59', '5', '6', '25', '50']
860 ['52', '51', '1', '59', '5', '6', '25', '50']
861 ['52', '51', '1', '59', '5', '6', '25', '50']
862 ['52', '51', '1', '59', '5', '6', '25', '50']
863 ['52', '51', '1', '59', '5', '6', '25', '50']
864 ['52', '51', '1', '59', '5', '6', '25', '50']
875 ['52', '1', '59', '5', '25', '6', '51', '33']
876 ['52', '1', '59', '5', '25', '6', '51', '33']
877 ['52', '1', '59', '5', '25', '6', '51', '33']
878 ['52', '1', '59', '5', '25', '6', '51', '33']
879 ['52', '1', '59', '5', '25', '6', '51', '33']
880 ['52', '1', '59', '5', '25', '6', '51', '33']
881 ['52', '1', '59', '5', '25', '6', '51', '33']
882 ['52', '1', '59', '5', '25', '6', '51', '33']
883 ['52', '1', '59', '5', '25', '6', '51', '33']
884 ['52', '1', '59', '5', '25', '6', '51', '33']
895 ['1', '25', '51', '6', '59', '52', '5', '54']
896 ['1', '25', '51', '6', '59', '52', '5', '54']
897 ['1', '25', '51', '6', '59', '52', '5', '54']
898 ['1', '25', '51', '6', '59', '52', '5', '54']
899 ['1', '25', '51', '6', '59', '52', '5', '54']
900 ['1', '25', '51', '6', '59', '52', '5', '54']
901 ['1', '25', '51', '6', '59', '52', '5', '54']
902 ['1', '25', '51', '6', '59', '52', '5', '54']
903 ['1', '25', '51', '6', '59', '52', '5', '54']
904 ['1', '25', '51', '6', '59', '52', '5', '54']
915 ['1', '25', '51', '6', '59', '5', '52', '37']
916 ['1', '25', '51', '6', '59', '5', '52', '37']
917 ['1', '25', '51', '6', '59', '5', '52', '37']
918 ['1', '25', '51', '6', '59', '5', '52', '37']
919 ['1', '25', '51', '6', '59', '5', '52', '37']
920 ['1', '25', '51', '6', '59', '5', '52', '37']
921 ['1', '25', '51', '6', '59', '5', '52', '37']
922 ['1', '25', '51', '6', '59', '5', '52', '37']
923 ['1', '25', '51', '6', '59', '5', '52', '37']
924 ['1', '25', '51', '6', '59', '5', '52', '37']
935 ['1', '25', '6', '59', '5', '52', '51', '21']
936 ['1', '25', '6', '59', '5', '52', '51', '21']
937 ['1', '25', '6', '59', '5', '52', '51', '21']
938 ['1', '25', '6', '59', '5', '52', '51', '21']
939 ['1', '25', '6', '59', '5', '52', '51', '21']
940 ['1', '25', '6', '59', '5', '52', '51', '21']
941 ['1', '25', '6', '59', '5', '52', '51', '21']
942 ['1', '25', '6', '59', '5', '52', '51', '21']
943 ['1', '25', '6', '59', '5', '52', '51', '21']
